2026-05-13 10:03:15 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:03:46 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:04:17 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:04:48 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:05:19 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:05:51 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 10:06:22 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:06:53 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:07:24 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 10:07:55 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:08:26 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:08:57 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:09:28 | ERROR    | resource_monitor | CPU CRITICAL: 96.0%
2026-05-13 10:09:59 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:10:30 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:11:02 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:11:33 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:12:04 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:12:35 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:13:06 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:13:37 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:14:08 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:14:40 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:15:11 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:15:42 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:16:13 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 10:16:44 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:17:15 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:17:46 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:18:18 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:18:49 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:19:20 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:19:51 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:20:22 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:20:53 | ERROR    | resource_monitor | CPU CRITICAL: 96.0%
2026-05-13 10:21:24 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:21:56 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:22:27 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:22:58 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:23:29 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:24:00 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:24:31 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:25:02 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:25:33 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:26:04 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 10:26:36 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:27:07 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:27:38 | WARNING  | resource_monitor | CPU WARNING: 92.0%
2026-05-13 10:28:09 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:28:40 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:29:11 | WARNING  | resource_monitor | CPU WARNING: 93.1%
2026-05-13 10:29:42 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 10:30:13 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:30:45 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:31:16 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:31:47 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:32:18 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 10:32:49 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:33:20 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:33:51 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:34:23 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:34:54 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:35:25 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:35:56 | WARNING  | resource_monitor | CPU WARNING: 86.0%
2026-05-13 10:36:27 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:37:29 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:38:00 | ERROR    | resource_monitor | CPU CRITICAL: 96.0%
2026-05-13 10:38:32 | ERROR    | resource_monitor | CPU CRITICAL: 96.0%
2026-05-13 10:39:03 | ERROR    | resource_monitor | CPU CRITICAL: 96.0%
2026-05-13 10:39:34 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:40:05 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:40:36 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:41:07 | WARNING  | resource_monitor | CPU WARNING: 87.0%
2026-05-13 10:41:38 | ERROR    | resource_monitor | CPU CRITICAL: 96.0%
2026-05-13 10:42:09 | ERROR    | resource_monitor | CPU CRITICAL: 96.9%
2026-05-13 10:42:40 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:43:12 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:43:43 | ERROR    | resource_monitor | CPU CRITICAL: 95.1%
2026-05-13 10:44:14 | ERROR    | resource_monitor | CPU CRITICAL: 95.0%
2026-05-13 10:44:45 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:45:16 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:45:47 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:46:18 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:46:49 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:47:52 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:48:23 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:48:54 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:49:25 | WARNING  | resource_monitor | CPU WARNING: 93.9%
2026-05-13 10:49:56 | WARNING  | resource_monitor | CPU WARNING: 94.0%
2026-05-13 10:50:27 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 10:50:58 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:51:29 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:52:00 | ERROR    | resource_monitor | CPU CRITICAL: 100.0%
2026-05-13 10:52:32 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:53:03 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:53:34 | ERROR    | resource_monitor | CPU CRITICAL: 99.0%
2026-05-13 10:54:05 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:54:36 | WARNING  | resource_monitor | CPU WARNING: 93.0%
2026-05-13 10:55:07 | WARNING  | resource_monitor | CPU WARNING: 87.9%
2026-05-13 10:55:38 | ERROR    | resource_monitor | CPU CRITICAL: 95.0%
2026-05-13 10:56:09 | ERROR    | resource_monitor | CPU CRITICAL: 98.0%
2026-05-13 10:56:40 | ERROR    | resource_monitor | CPU CRITICAL: 96.0%
2026-05-13 10:57:11 | ERROR    | resource_monitor | CPU CRITICAL: 96.0%
2026-05-13 10:57:43 | ERROR    | resource_monitor | CPU CRITICAL: 97.0%
2026-05-13 10:58:14 | ERROR    | resource_monitor | CPU CRITICAL: 96.0%
