2026-05-11 05:01:03 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 05:01:05 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 05:02:05 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 05:02:05 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 05:02:05 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 05:02:05 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 05:02:07 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 05:03:07 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 05:03:07 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 05:03:07 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 05:03:07 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 05:03:09 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 05:04:09 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 05:04:09 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
2026-05-11 05:04:09 | ERROR    | health_monitor | Process DOWN: ai_layer (ai_layer.py)
2026-05-11 05:04:09 | ERROR    | health_monitor | Database check failed: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-05-11 05:04:10 | ERROR    | health_monitor | FAILED processes: ['orchestrator', 'intraday_engine', 'ai_layer']
2026-05-11 05:05:10 | ERROR    | health_monitor | Process DOWN: orchestrator (master_orchestrator.py)
2026-05-11 05:05:10 | ERROR    | health_monitor | Process DOWN: intraday_engine (intraday_engine.py)
